id,atlas_label,nd_region,network,name_alt,nd_region_back
1,1_28208_Left_Precentral,PreCG_L,Sensorimotor network,PreCG_L,Precentral_L
2,2_27048_Right_Precental,PreCG_R,Sensorimotor network,PreCG_R,Precentral_R
3,3_38960_Left_Frontal_Superior_2,SFG_L,Central executive network,SFG_L,Frontal_Sup_2_L
4,4_41008_Right_Frontal_Superior_2,SFG_R,Central executive network,SFG_R,Frontal_Sup_2_R
5,5_36056_Left_Frontal_Middle_2,MFG_L,Central executive network,MFG_L,Frontal_Mid_2_L
6,6_38880_Right_Frontal_Middle_2,MFG_R,Central executive network,MFG_R,Frontal_Mid_2_R
7,7_8304_Left_Frontal_Inferior_Opercular,IFGop_L,Ventral attention network,IFGop_L,Frontal_Inf_Oper_L
8,8_11192_Right_Frontal_Inferior_Opercular,IFGop_R,Ventral attention network,IFGop_R,Frontal_Inf_Oper_R
9,9_20232_Left_Frontal_Inferior_Triangular,IFGtri_L,Language network,IFGtri_L,Frontal_Inf_Tri_L
10,10_17208_Right_Frontal_Inferior_Triangular,IFGtri_R,Language network,IFGtri_R,Frontal_Inf_Tri_R
11,11_6512_Left_Frontal_Inferior_Orbital_2,IFGorb_L,Default mode network,IFGorb_L,Frontal_Inf_Orb_2_L
12,12_6992_Right_Frontal_Inferior_Orbital_2,IFGorb_R,Default mode network,IFGorb_R,Frontal_Inf_Orb_2_R
13,13_7904_Left_Rolandic_Opercular,RolOp_L,Auditory network,RolOp_L,Rolandic_Oper_L
14,14_10648_Right_Rolandic_Opercular,RolOp_R,Auditory network,RolOp_R,Rolandic_Oper_R
15,15_17176_Left_Supplementar_Motor_Area,SMA_L,Sensorimotor network,SMA_L,Supp_Motor_Area_L
16,16_18968_Right_Supplementat_Motor_Area,SMA_R,Sensorimotor network,SMA_R,Supp_Motor_Area_R
17,17_2328_Left_Olfactory,OLF_L,Limbic/Paralimbic network,OLF_L,Olfactory_L
18,18_2304_Right_Olfactory,OLF_R,Limbic/Paralimbic network,OLF_R,Olfactory_R
19,19_23936_Left_Frontal_Superior_Medial,SFGmed_L,Language network,SFGmed_L,Frontal_Sup_Medial_L
20,20_17072_Right_Frontal_Superior_Medial,SFGmed_R,Language network,SFGmed_R,Frontal_Sup_Medial_R
21,21_5752_Frontal_Medial_Orbital,OFCmed_L,Default mode network,OFCmed_L,Frontal_Med_Orb_L
22,22_6848_Frontal_Medial_Orbital,OFCmed_R,Default mode network,OFCmed_R,Frontal_Med_Orb_R
23,23_6816_Left_Rectus,REC_L,Limbic/Paralimbic network,REC_L,Rectus_L
24,24_5960_Right_Rectus,REC_R,Limbic/Paralimbic network,REC_R,Rectus_R
25,25_4400_Left_Orbito_Frontal_Cortex_Medial,OFC_L,Limbic/Paralimbic network,OFC_L,OFCmed_L
26,26_4968_Right_Orbito_Frontal_Cortex_Medial,OFC_R,Limbic/Paralimbic network,OFC_R,OFCmed_R
27,27_3544_Left_Orbito_Frontal_Cortex_Anterior,OFCant_L,Limbic/Paralimbic network,OFCant_L,OFCant_L
28,28_5184_Right_Orbito_Frontal_Cortex_Anterior,OFCant_R,Limbic/Paralimbic network,OFCant_R,OFCant_R
29,29_4536_Left_Orbito_Frontal_Cortex_Posterior,OFCpost_L,Limbic/Paralimbic network,OFCpost_L,OFCpost_L
30,30_4488_Right_Orbito_Frontal_Cortex_Posterior,OFCpost_R,Limbic/Paralimbic network,OFCpost_R,OFCpost_R
31,31_1576_Left_Orbito_Frontal_Cortex_Lateral,OFClat_L,Central executive network,OFClat_L,OFClat_L
32,32_1504_Right_Orbito_Frontal_Cortex_Lateral,OFClat_R,Central executive network,OFClat_R,OFClat_R
33,33_14864_Left_Insula,INS_L,Salience network,INS_L,Insula_L
34,34_14160_Right_Insula,INS_R,Salience network,INS_R,Insula_R
35,35_0_Left_Cingulate_Anterior,ACG_L,none,ACG_L,none
36,36_0_Right_Cingulate_Anterior,ACG_R,none,ACG_R,none
37,37_15528_Left_Cingulate_Middle,DCG_L,Salience network,DCG_L,Cingulate_Mid_L
38,38_17624_Right_Cingulate_Middle,DCG_R,Salience network,DCG_R,Cingulate_Mid_R
39,39_3704_Left_Cingulate_Posterior,PCG_L,Default mode network,PCG_L,Cingulate_Post_L
40,40_2680_Right_Cingulate_Posterior,PCG_R,Default mode network,PCG_R,Cingulate_Post_R
41,41_7456_Left_Hippocampus,HIPP_L,Limbic/Paralimbic network,HIPP_L,Hippocampus_L
42,42_7568_Right_Hippocampus,HIPP_R,Limbic/Paralimbic network,HIPP_R,Hippocampus_R
43,43_7824_Left_ParaHippocampal,PHG_L,Limbic/Paralimbic network,PHG_L,ParaHippocampal_L
44,44_9056_Right_paraHippocampal,PHG_R,Limbic/Paralimbic network,PHG_R,ParaHippocampal_R
45,45_1760_Left_Amygdala,AMYG_L,Limbic/Paralimbic network,AMYG_L,Amygdala_L
46,46_1984_Right_Amygdala,AMYG_R,Limbic/Paralimbic network,AMYG_R,Amygdala_R
47,47_18064_Left_Calcarine,CAL_L,Visual network,CAL_L,Calcarine_L
48,48_14888_Right_Calcarine,CAL_R,Visual network,CAL_R,Calcarine_R
49,49_12168_Left_Cuneus,CUN_L,Visual network,CUN_L,Cuneus_L
50,50_11392_Right_Cuneus,CUN_R,Visual network,CUN_R,Cuneus_R
51,51_16760_Left_Lingual,LING_L,Visual network,LING_L,Lingual_L
52,52_18400_Right_Lingual,LING_R,Visual network,LING_R,Lingual_R
53,53_10928_Left_Occipital_Superior,SOG_L,Visual network,SOG_L,Occipital_Sup_L
54,54_11304_Right_Occipital_Superior,SOG_R,Visual network,SOG_R,Occipital_Sup_R
55,55_26120_Left_Occipital_Middle,MOG_L,Visual network,MOG_L,Occipital_Mid_L
56,56_16784_Right_Occipital_Middle,MOG_R,Visual network,MOG_R,Occipital_Mid_R
57,57_7528_Left_Occipital_Inferior,IOG_L,Visual network,IOG_L,Occipital_Inf_L
58,58_7912_Right_Occipital_Inferior,IOG_R,Visual network,IOG_R,Occipital_Inf_R
59,59_18472_Left_Fusiform,FUS_L,Visual network,FUS_L,Fusiform_L
60,60_20144_Right_Fusiform,FUS_R,Visual network,FUS_R,Fusiform_R
61,61_31136_Left_Poscentral,PoCG_L,Sensorimotor network,PoCG_L,Postcentral_L
62,62_30584_Right_Postecentral,PoCG_R,Sensorimotor network,PoCG_R,Postcentral_R
63,63_16520_Left_Parietal_Superior,SPG_L,Dorsal attention network,SPG_L,Parietal_Sup_L
64,64_17776_Right_Parietal_Superior,SPG_R,Dorsal attention network,SPG_R,Parietal_Sup_R
65,65_19576_Left_Parietal_Inferior,IPL_L,Dorsal attention network,IPL_L,Parietal_Inf_L
66,66_10760_Right_Parietal_Inferior,IPL_R,Dorsal attention network,IPL_R,Parietal_Inf_R
67,67_10048_Left_Supra_Marginal_,SMG_L,Ventral attention network,SMG_L,SupraMarginal_L
68,68_15792_Right_Supra_Marginal,SMG_R,Ventral attention network,SMG_R,SupraMarginal_R
69,69_9384_Left_Angular,ANG_L,Language network,ANG_L,Angular_L
70,70_14016_Right_Angular,ANG_R,Language network,ANG_R,Angular_R
71,71_28224_Left_Precuneus,PCUN_L,Default mode network,PCUN_L,Precuneus_L
72,72_26120_Right_Precuneus,PCUN_R,Default mode network,PCUN_R,Precuneus_R
73,73_10792_Left_Paracentral_Lobule,PaCL_L,Sensorimotor network,PaCL_L,Paracentral_Lobule_L
74,74_6688_Right_Paracentral_Lobule,PaCL_R,Sensorimotor network,PaCL_R,Paracentral_Lobule_R
75,75_6440_Left_Caudate,CAU_L,Basal ganglia network,CAU_L,Caudate_L
76,76_6888_Right_Caudate,CAU_R,Basal ganglia network,CAU_R,Caudate_R
77,77_7992_Left_Putamen,PUT_L,Basal ganglia network,PUT_L,Putamen_L
78,78_8496_Right_Putamen,PUT_R,Basal ganglia network,PUT_R,Putamen_R
79,79_2344_Left_Pallidum,PAL_L,Basal ganglia network,PAL_L,Pallidum_L
80,80_2240_Right_Pallidum,PAL_R,Basal ganglia network,PAL_R,Pallidum_R
81,81_0_Left_Thalamus,THA_L,none,THA_L,none
82,82_0_Right_Thalamus,THA_R,none,THA_R,none
83,83_1800_Left_Heschl,HES_L,Auditory network,HES_L,Heschl_L
84,84_1992_Right_Heschl,HES_R,Auditory network,HES_R,Heschl_R
85,85_18368_Left_Temporal_Superior,STG_L,Language network,STG_L,Temporal_Sup_L
86,86_25128_Right_Temporal_Superior,STG_R,Language network,STG_R,Temporal_Sup_R
